metric,V2,V3_ALL,better
TTR_total_tokens,306773.0,273075.0,V2
TTR_unique_types,5100.0,5666.0,V3_ALL
TTR_ttr,0.0166246703588647,0.020748878513228968,V3_ALL
TTR_root_ttr,9.207921526067103,10.842653995030707,V3_ALL
total_2grams,304773.0,271075.0,V2
unique_2grams,31697.0,36657.0,V3_ALL
unique_2gram_ratio,0.10400199492737218,0.13522825786221526,V3_ALL
total_3grams,302773.0,269075.0,V2
unique_3grams,55469.0,63789.0,V3_ALL
unique_3gram_ratio,0.18320325788627123,0.23706773204496887,V3_ALL
vocab_vocabulary_size,5100.0,5666.0,V3_ALL
vocab_hapax_legomena,1007.0,1015.0,V3_ALL
vocab_hapax_ratio,0.19745098039215686,0.17913872220261207,V2
vocab_avg_text_length,153.3865,136.5375,-
vocab_std_text_length,9.418233260543083,23.16133834108038,-
vocab_min_text_length,126.0,78.0,-
vocab_max_text_length,178.0,179.0,-
semantic_mean_pairwise_similarity,0.03470424682753782,0.030199736794594687,V3_ALL
semantic_std_pairwise_similarity,0.061798961330295075,0.05207650447778763,V3_ALL
semantic_min_pairwise_similarity,0.0036553519924281794,0.0010387159210817891,V3_ALL
semantic_max_pairwise_similarity,0.9969230461631629,0.9994081708291347,V2
semantic_median_pairwise_similarity,0.02342092925048921,0.0205523120611263,V3_ALL
cluster_normalized_entropy,0.9528525222462426,0.9436789273934076,V2
cluster_cluster_balance,0.5473632803229505,0.5225065445474671,V2
style_allegedly_per_text,1.316,1.714,-
style_reportedly_per_text,0.1495,0.0875,-
style_supposedly_per_text,0.112,0.0185,-
style_sources_per_text,1.3625,1.43,-
style_insider_per_text,1.9365,1.5735,-
style_exclusive_per_text,0.629,0.6775,-
style_breaking_per_text,0.074,0.065,-
style_shocking_per_text,0.0785,0.0535,-
style_revealed_per_text,1.337,1.468,-
style_claims_per_text,0.381,0.371,-
style_rumor_per_text,0.184,0.1245,-
style_secret_per_text,0.212,0.1815,-
style_question_mark_title_per_text,0.07,0.042,-
style_exclamation_title_per_text,0.0,0.0,-
style_all_caps_words_per_text,0.685,0.677,-
